normalized_query,id,score,description_bm25,title_bm25,name_bm25,character_bm25,type,release_year,age_certification,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,action,animation,comedy,crime,documentation,drama,european,family,fantasy,history,horror,music,reality,romance,scifi,sport,thriller,war,western,AR,AT,AU,BE,BG,BR,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,EG,ES,FR,GB,GH,HK,HU,ID,IE,IL,IN,IO,IS,IT,JP,KE,KG,KH,KR,LB,Lebanon,MA,MC,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PS,QA,RO,RU,SA,SE,SG,TH,TN,TR,TW,US,VA,VE,VN,XX,ZA
most rated,tm145608,11,0.0,0.0,0.0,0.0,MOVIE,1990,PG-13,120,0.8000000000000002,15.76268261819855,0.4001169718901927,0.6185567010309274,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sex,tm1023388,11,0.0,0.0,0.0,0.0,MOVIE,2021,unknwon,112,-0.7999999999999995,0.1365466467272518,0.651314106078883,-0.7560137457044677,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bur,tm68436,11,0.0,0.0,0.0,0.0,MOVIE,2012,G,151,1.0,9.085816173933049,0.0833424717622546,0.4123711340206183,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pada,tm27268,11,0.0,0.0,0.0,0.0,MOVIE,2006,PG,91,0.0,13.205222592890832,3.299630807471579,-0.2061855670103097,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
natc,tm450769,11,0.0,0.0,0.0,0.0,MOVIE,2018,unknwon,116,0.3333333333333333,-0.2179914874036581,-0.3753335526556274,0.2061855670103091,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,tm1227853,11,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,142,-0.4666666666666662,2.879213160013804,0.232627846620609,0.0687285223367695,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ante,tm1166046,11,0.0,9.919802982220578,0.0,0.0,MOVIE,2022,unknwon,173,0.9333333333333336,0.0371563326814678,0.1320320210549403,-0.1374570446735396,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pad,tm313424,11,8.797952651054986,9.919802982220578,0.0,0.0,MOVIE,2018,PG-13,140,0.8666666666666671,2.6830783388933623,-0.1158021712907116,0.4123711340206183,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thar,tm1195032,11,9.879250138942073,11.942178820367491,0.0,0.0,MOVIE,2022,unknwon,108,-0.3333333333333333,0.2862072932244334,-0.1330555250941257,-0.0687285223367701,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monster,tm27268,11,0.0,7.275403335615095,0.0,0.0,MOVIE,2006,PG,91,0.0,13.205222592890832,3.299630807471579,-0.2061855670103097,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
moster,tm27268,11,0.0,0.0,0.0,0.0,MOVIE,2006,PG,91,0.0,13.205222592890832,3.299630807471579,-0.2061855670103097,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gost,tm1092958,11,0.0,0.0,0.0,0.0,MOVIE,2021,R,85,-0.8666666666666666,1.4742896583457954,6.533976678729393,-0.6185567010309281,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
horror movie,tm972010,11,0.0,0.0,0.0,0.0,MOVIE,2020,unknwon,89,-2.333333333333333,-0.2107442770044863,0.0919691486639617,-0.6185567010309281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
